Question ID,Category,Question,Option A,Option B,Option C,Option D
1,Realistic,"I like to work with my hands, building or repairing things.",Strongly Disagree,Disagree,Agree,Strongly Agree
2,Realistic,I enjoy physical activities like sports or exercise.,Strongly Disagree,Disagree,Agree,Strongly Agree
3,Realistic,I prefer jobs that involve working with tools or machines.,Strongly Disagree,Disagree,Agree,Strongly Agree
4,Realistic,I like to be outdoors and work in nature.,Strongly Disagree,Disagree,Agree,Strongly Agree
5,Realistic,I am good at fixing things around the house.,Strongly Disagree,Disagree,Agree,Strongly Agree
6,Investigative,I enjoy solving complex problems or puzzles.,Strongly Disagree,Disagree,Agree,Strongly Agree
7,Investigative,I like to read about scientific discoveries.,Strongly Disagree,Disagree,Agree,Strongly Agree
8,Investigative,I am interested in understanding how things work.,Strongly Disagree,Disagree,Agree,Strongly Agree
9,Investigative,I enjoy analyzing data or conducting experiments.,Strongly Disagree,Disagree,Agree,Strongly Agree
10,Investigative,I like to think logically and systematically.,Strongly Disagree,Disagree,Agree,Strongly Agree
11,Artistic,"I enjoy creating art, such as painting, drawing, or sculpting.",Strongly Disagree,Disagree,Agree,Strongly Agree
12,Artistic,"I like to express myself through music, dance, or theater.",Strongly Disagree,Disagree,Agree,Strongly Agree
13,Artistic,I appreciate beauty in nature and art.,Strongly Disagree,Disagree,Agree,Strongly Agree
14,Artistic,I am imaginative and creative.,Strongly Disagree,Disagree,Agree,Strongly Agree
15,Artistic,I enjoy writing stories or poetry.,Strongly Disagree,Disagree,Agree,Strongly Agree
16,Social,I like to help others and make a difference in their lives.,Strongly Disagree,Disagree,Agree,Strongly Agree
17,Social,I enjoy working with people and building relationships.,Strongly Disagree,Disagree,Agree,Strongly Agree
18,Social,I am good at listening and understanding others' feelings.,Strongly Disagree,Disagree,Agree,Strongly Agree
19,Social,I like to teach or mentor others.,Strongly Disagree,Disagree,Agree,Strongly Agree
20,Social,I am interested in social issues and community service.,Strongly Disagree,Disagree,Agree,Strongly Agree
21,Enterprising,I enjoy leading and organizing groups.,Strongly Disagree,Disagree,Agree,Strongly Agree
22,Enterprising,I like to persuade others and influence decisions.,Strongly Disagree,Disagree,Agree,Strongly Agree
23,Enterprising,I am good at selling products or ideas.,Strongly Disagree,Disagree,Agree,Strongly Agree
24,Enterprising,I enjoy taking risks and starting new ventures.,Strongly Disagree,Disagree,Agree,Strongly Agree
25,Enterprising,I like to be in charge and make important decisions.,Strongly Disagree,Disagree,Agree,Strongly Agree
26,Conventional,I prefer jobs that have clear rules and procedures.,Strongly Disagree,Disagree,Agree,Strongly Agree
27,Conventional,I like to work with data and keep records organized.,Strongly Disagree,Disagree,Agree,Strongly Agree
28,Conventional,I am detail-oriented and accurate in my work.,Strongly Disagree,Disagree,Agree,Strongly Agree
29,Conventional,I enjoy clerical or administrative tasks.,Strongly Disagree,Disagree,Agree,Strongly Agree
30,Conventional,I like to follow established routines and schedules.,Strongly Disagree,Disagree,Agree,Strongly Agree
